Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
faust://inscription/faustedition/2_III_H.5/i_uebrige,,(ok),"handschriftendatierung_iii.xml:117, handschriftendatierung_iii.xml:145"
faust://inscription/faustedition/2_III_H.58/i_r,,(ok),"handschriftendatierung_i.xml:698, handschriftendatierung_i.xml:703"
faust://inscription/faustedition/2_III_H.58/i_v,,(ok),handschriftendatierung_i.xml:686
faust://inscription/faustedition/2_III_H.59a/i_uebrige,,(ok),"handschriftendatierung_iii.xml:936, handschriftendatierung_iii.xml:952, handschriftendatierung_iii.xml:959"
faust://inscription/faustedition/2_III_H.60/i_uebrige,,(ok),"handschriftendatierung_iii.xml:975, handschriftendatierung_iii.xml:1002"
faust://inscription/faustedition/2_III_H.8/i_r,,(ok),"handschriftendatierung_iii.xml:281, handschriftendatierung_iii.xml:300"
faust://inscription/faustedition/2_III_H.8/i_v,,(ok),"handschriftendatierung_iii.xml:287, handschriftendatierung_iii.xml:293, handschriftendatierung_iii.xml:1263"
faust://inscription/faustedition/2_II_H.5/i_r,,(ok),handschriftendatierung_ii.xml:50
faust://inscription/faustedition/2_II_H.5/i_v,,(ok),handschriftendatierung_ii.xml:57
faust://inscription/faustedition/2_II_H.74/i_2,,(ok),handschriftendatierung_ii.xml:640
faust://inscription/faustedition/2_II_H.74/i_23_m,,(ok),handschriftendatierung_ii.xml:649
faust://inscription/faustedition/2_II_H.74/i_uebrige,,(ok),"handschriftendatierung_ii.xml:64, handschriftendatierung_ii.xml:225, handschriftendatierung_ii.xml:445, handschriftendatierung_ii.xml:475, handschriftendatierung_ii.xml:631, handschriftendatierung_ii.xml:639, handschriftendatierung_ii.xml:648"
faust://inscription/faustedition/2_IV_H.12/i_uebrige,,(ok),"handschriftendatierung_iv.xml:150, handschriftendatierung_iv.xml:158, handschriftendatierung_iv.xml:166, handschriftendatierung_iv.xml:173, handschriftendatierung_iv.xml:237, handschriftendatierung_iv.xml:379"
faust://inscription/faustedition/2_IV_H.12/i_v_o,,(ok),handschriftendatierung_iv.xml:132
faust://inscription/faustedition/2_IV_H.19/i_uebrige,,(ok),"handschriftendatierung_iv.xml:149, handschriftendatierung_iv.xml:371, handschriftendatierung_iv.xml:378, handschriftendatierung_iv.xml:386, handschriftendatierung_iv.xml:394, handschriftendatierung_iv.xml:402, handschriftendatierung_iv.xml:411, handschriftendatierung_iv.xml:419"
faust://inscription/faustedition/2_IV_H.20/i_uebrige,,(ok),"handschriftendatierung_iv.xml:8, handschriftendatierung_iv.xml:513"
faust://inscription/faustedition/2_IV_H.22/i_1_r,,(ok),"handschriftendatierung_iv.xml:181, handschriftendatierung_iv.xml:437, handschriftendatierung_iv.xml:577, handschriftendatierung_iv.xml:598"
faust://inscription/faustedition/2_IV_H.22/i_uebrige,,(ok),handschriftendatierung_iv.xml:444
faust://inscription/faustedition/2_I_H.10/i_uebrige,,(ok),handschriftendatierung_i.xml:118
faust://inscription/faustedition/2_I_H.10/i_v,,(ok),handschriftendatierung_i.xml:124
faust://inscription/faustedition/2_I_H.10/i_var_u,,(ok),handschriftendatierung_i.xml:112
faust://inscription/faustedition/2_I_H.19/i_4,,(ok),handschriftendatierung_i.xml:203
faust://inscription/faustedition/2_I_H.19/i_uebrige,,(ok),handschriftendatierung_i.xml:196
faust://inscription/faustedition/2_I_H.32/i_7_v,,(ok),handschriftendatierung_i.xml:478
faust://inscription/faustedition/2_I_H.32/i_uebrige,,(ok),"handschriftendatierung_i.xml:292, handschriftendatierung_i.xml:300, handschriftendatierung_i.xml:315, handschriftendatierung_i.xml:335, handschriftendatierung_i.xml:348, handschriftendatierung_i.xml:364, handschriftendatierung_i.xml:393, handschriftendatierung_i.xml:408, handschriftendatierung_i.xml:422, handschriftendatierung_i.xml:437, handschriftendatierung_i.xml:453"
faust://inscription/faustedition/2_I_H.43/i_uebrige,,(ok),handschriftendatierung_i.xml:460
faust://inscription/faustedition/2_V_H.13/i_r,,(ok),"handschriftendatierung_v.xml:604, handschriftendatierung_v.xml:610, handschriftendatierung_v.xml:626, handschriftendatierung_v.xml:633"
faust://inscription/faustedition/2_V_H.13/i_v,,(ok),"handschriftendatierung_v.xml:603, handschriftendatierung_v.xml:625, handschriftendatierung_v.xml:634, handschriftendatierung_v.xml:641, handschriftendatierung_v.xml:649, handschriftendatierung_v.xml:656, handschriftendatierung_v.xml:664, handschriftendatierung_v.xml:687, handschriftendatierung_v.xml:711"
faust://inscription/faustedition/2_V_H.17/i_r,,(ok),"handschriftendatierung_v.xml:758, handschriftendatierung_v.xml:767, handschriftendatierung_v.xml:774, handschriftendatierung_v.xml:781, handschriftendatierung_v.xml:837"
faust://inscription/faustedition/2_V_H.17/i_v,,(ok),"handschriftendatierung_v.xml:759, handschriftendatierung_v.xml:782, handschriftendatierung_v.xml:795, handschriftendatierung_v.xml:803, handschriftendatierung_v.xml:811, handschriftendatierung_v.xml:817, handschriftendatierung_v.xml:824, handschriftendatierung_v.xml:838, handschriftendatierung_v.xml:1144"
faust://inscription/faustedition/2_V_H.24/i_r,,(ok),"handschriftendatierung_v.xml:983, handschriftendatierung_v.xml:991, handschriftendatierung_v.xml:996, handschriftendatierung_v.xml:1003, handschriftendatierung_v.xml:1011, handschriftendatierung_v.xml:1019, handschriftendatierung_v.xml:1035, handschriftendatierung_v.xml:1051, handschriftendatierung_v.xml:1058, handschriftendatierung_v.xml:1065, handschriftendatierung_v.xml:1531"
faust://inscription/faustedition/2_V_H.24/i_v,,(ok),"handschriftendatierung_v.xml:1004, handschriftendatierung_v.xml:1027, handschriftendatierung_v.xml:1044, handschriftendatierung_v.xml:1066, handschriftendatierung_v.xml:1074, handschriftendatierung_v.xml:1081"
faust://inscription/faustedition/2_V_H.26/i_r,,(ok),"handschriftendatierung_v.xml:796, handschriftendatierung_v.xml:1125, handschriftendatierung_v.xml:1131, handschriftendatierung_v.xml:1138, handschriftendatierung_v.xml:1145, handschriftendatierung_v.xml:1151, handschriftendatierung_v.xml:1159, handschriftendatierung_v.xml:1201"
faust://inscription/faustedition/2_V_H.26/i_v,,(ok),"handschriftendatierung_v.xml:804, handschriftendatierung_v.xml:1167, handschriftendatierung_v.xml:1174, handschriftendatierung_v.xml:1180, handschriftendatierung_v.xml:1187, handschriftendatierung_v.xml:1194, handschriftendatierung_v.xml:1209"
faust://inscription/faustedition/2_V_H.29/i_r,,(ok),"handschriftendatierung_v.xml:1292, handschriftendatierung_v.xml:1308, handschriftendatierung_v.xml:1334, handschriftendatierung_v.xml:1358, handschriftendatierung_v.xml:1381"
faust://inscription/faustedition/2_V_H.29/i_v,,(ok),"handschriftendatierung_v.xml:1297, handschriftendatierung_v.xml:1321, handschriftendatierung_v.xml:1346, handschriftendatierung_v.xml:1369"
faust://inscription/faustedition/2_V_H.31/i_r_o,,(ok),"handschriftendatierung_v.xml:794, handschriftendatierung_v.xml:802, handschriftendatierung_v.xml:810, handschriftendatierung_v.xml:1408, handschriftendatierung_v.xml:1455, handschriftendatierung_v.xml:1482, handschriftendatierung_v.xml:1518, handschriftendatierung_v.xml:1553"
faust://inscription/faustedition/2_V_H.31/i_r_uebrige,,(ok),"handschriftendatierung_v.xml:1396, handschriftendatierung_v.xml:1426, handschriftendatierung_v.xml:1443, handschriftendatierung_v.xml:1461, handschriftendatierung_v.xml:1468, handschriftendatierung_v.xml:1475, handschriftendatierung_v.xml:1488, handschriftendatierung_v.xml:1506, handschriftendatierung_v.xml:1539"
faust://inscription/faustedition/2_V_H.31/i_v,,(ok),"handschriftendatierung_v.xml:1402, handschriftendatierung_v.xml:1432, handschriftendatierung_v.xml:1448, handschriftendatierung_v.xml:1494, handschriftendatierung_v.xml:1501, handschriftendatierung_v.xml:1512, handschriftendatierung_v.xml:1546"
faust://inscription/faustedition/2_V_H.32a/i_r,,(ok),"handschriftendatierung_v.xml:1648, handschriftendatierung_v.xml:1794, handschriftendatierung_v.xml:1808, handschriftendatierung_v.xml:1965, handschriftendatierung_v.xml:1984, handschriftendatierung_v.xml:1991"
faust://inscription/faustedition/2_V_H.32a/i_v,,(ok),"handschriftendatierung_v.xml:1656, handschriftendatierung_v.xml:1801, handschriftendatierung_v.xml:1815, handschriftendatierung_v.xml:1978, handschriftendatierung_v.xml:1985, handschriftendatierung_v.xml:1998"
faust://inscription/faustedition/2_V_H.33/i_3_r,,(ok),"handschriftendatierung_v.xml:1577, handschriftendatierung_v.xml:1624, handschriftendatierung_v.xml:1672"
faust://inscription/faustedition/2_V_H.33/i_3_v,,(ok),"handschriftendatierung_v.xml:1584, handschriftendatierung_v.xml:1632, handschriftendatierung_v.xml:1664"
faust://inscription/faustedition/2_V_H.33/i_uebrige,,(ok),"handschriftendatierung_v.xml:1570, handschriftendatierung_v.xml:1688, handschriftendatierung_v.xml:1705, handschriftendatierung_v.xml:1719, handschriftendatierung_v.xml:1992, handschriftendatierung_v.xml:1999, handschriftendatierung_v.xml:2039, handschriftendatierung_v.xml:2118"
faust://inscription/faustedition/2_V_H.37a/i_r,,(ok),"handschriftendatierung_v.xml:1639, handschriftendatierung_v.xml:1768, handschriftendatierung_v.xml:1774, handschriftendatierung_v.xml:1787, handschriftendatierung_v.xml:1793, handschriftendatierung_v.xml:1800, handschriftendatierung_v.xml:1821"
faust://inscription/faustedition/2_V_H.37a/i_v,,(ok),"handschriftendatierung_v.xml:1760, handschriftendatierung_v.xml:1780, handschriftendatierung_v.xml:1807, handschriftendatierung_v.xml:1814, handschriftendatierung_v.xml:1828, handschriftendatierung_v.xml:2025"
faust://inscription/faustedition/2_V_H.4/i_uebrige,,(ok),"handschriftendatierung_v.xml:107, handschriftendatierung_v.xml:122, handschriftendatierung_v.xml:153, handschriftendatierung_v.xml:158, handschriftendatierung_v.xml:177, handschriftendatierung_v.xml:185, handschriftendatierung_v.xml:191, handschriftendatierung_v.xml:197, handschriftendatierung_v.xml:203, handschriftendatierung_v.xml:209, handschriftendatierung_v.xml:229, handschriftendatierung_v.xml:342, handschriftendatierung_v.xml:382, handschriftendatierung_v.xml:419, handschriftendatierung_v.xml:616"
faust://inscription/faustedition/2_V_H.4/i_v,,(ok),"handschriftendatierung_v.xml:164, handschriftendatierung_v.xml:170"
faust://inscription/faustedition/2_V_H.8/i_r,,(ok),handschriftendatierung_v.xml:286
faust://inscription/faustedition/H_P167/i_r_u,,(ok),handschriftendatierung_iii.xml:1383
faust://inscription/faustedition/H_P167/i_uebrige,,(ok),"handschriftendatierung_iii.xml:1374, handschriftendatierung_iii.xml:1384, handschriftendatierung_iii.xml:1392, handschriftendatierung_iii.xml:1398"
faust://inscription/faustedition/H_P167/i_v,,(ok),"handschriftendatierung_iii.xml:1360, handschriftendatierung_iii.xml:1367"
faust://inscription/faustedition/H_P22/i_1_o,,(ok),"handschriftendatierung_pre1800.xml:230, handschriftendatierung_pre1800.xml:236, handschriftendatierung_pre1800.xml:243"
faust://inscription/faustedition/H_P22/i_2_o,,(ok),handschriftendatierung_pre1800.xml:287
faust://inscription/faustedition/H_P22/i_2_u,,(ok),handschriftendatierung_pre1800.xml:288
faust://inscription/faustedition/H_P22/i_uebrige,,(ok),handschriftendatierung_pre1800.xml:224
faust://inscription/faustedition/H_P65/i_4_r,,(ok),"handschriftendatierung_pre1800.xml:358, handschriftendatierung_pre1800.xml:363"
1_H.1,,no macrogenesis data,
1_H.10,,no macrogenesis data,
1_H.11,,no macrogenesis data,
1_H.2,,no macrogenesis data,
1_H.6,,no macrogenesis data,
1_H.7,,no macrogenesis data,
1_H.8,,no macrogenesis data,
1_H.9,,no macrogenesis data,
2_III_H.0,,no macrogenesis data,
2_III_H.12a,,no macrogenesis data,
2_III_H.23a_,,no macrogenesis data,
2_III_H.23b,,no macrogenesis data,
2_III_H.23c,,no macrogenesis data,
2_III_H.23d,,no macrogenesis data,
2_III_H.24a,,no macrogenesis data,
2_III_H.25a,,no macrogenesis data,
2_III_H.2_2,,no macrogenesis data,
2_III_H.2a_2,,no macrogenesis data,
2_III_H.37a,,no macrogenesis data,
2_III_H.3a_1,,no macrogenesis data,
2_III_H.3a_2,,no macrogenesis data,
2_III_H.3b,,no macrogenesis data,
2_III_H.42a,,no macrogenesis data,
2_III_H.45a,,no macrogenesis data,
2_III_H.45b,,no macrogenesis data,
2_III_H.46a,,no macrogenesis data,
2_III_H.49a,,no macrogenesis data,
2_III_H.49b,,no macrogenesis data,
2_III_H.49c,,no macrogenesis data,
2_III_H.54a,,no macrogenesis data,
2_III_H.54b,,no macrogenesis data,
2_III_H.54c,,no macrogenesis data,
2_III_H.58a,,no macrogenesis data,
2_III_H.64a,,no macrogenesis data,
2_III_H.64c,,no macrogenesis data,
2_III_H.64d,,no macrogenesis data,
2_III_H.64e,,no macrogenesis data,
2_III_H.69a,,no macrogenesis data,
2_III_H.6_1,,no macrogenesis data,
2_III_H.75a,,no macrogenesis data,
2_III_H.7_2,,no macrogenesis data,
2_III_H.81b_,,no macrogenesis data,
2_III_H.8a,,no macrogenesis data,
2_III_H.8b,,no macrogenesis data,
2_III_H.8c,,no macrogenesis data,
2_III_H.9a,,no macrogenesis data,
2_II_H.11a,,no macrogenesis data,
2_II_H.13a,,no macrogenesis data,
2_II_H.27_1,,no macrogenesis data,
2_II_H.2_1,,no macrogenesis data,
2_II_H.2_2,,no macrogenesis data,
2_II_H.2_3,,no macrogenesis data,
2_II_H.4a_,,no macrogenesis data,
2_II_H.5a,,no macrogenesis data,
2_II_H.6a,,no macrogenesis data,
2_II_H.6b,,no macrogenesis data,
2_IV_H.19,,no macrogenesis data,
2_IV_H.22e,,no macrogenesis data,
2_IV_H.22f,,no macrogenesis data,
2_IV_H.6_1,,no macrogenesis data,
2_IV_H.6_2,,no macrogenesis data,
2_IV_H.7a,,no macrogenesis data,
2_IV_H.7b,,no macrogenesis data,
2_I_H.0,,no macrogenesis data,
2_I_H.0a,,no macrogenesis data,
2_I_H.0b,,no macrogenesis data,
2_I_H.0c,,no macrogenesis data,
2_I_H.0d,,no macrogenesis data,
2_I_H.12_1,,no macrogenesis data,
2_I_H.12_2,,no macrogenesis data,
2_I_H.12a,,no macrogenesis data,
2_I_H.15c,,no macrogenesis data,
2_I_H.16,,no macrogenesis data,
2_I_H.24a,,no macrogenesis data,
2_I_H.6a,,no macrogenesis data,
2_I_H.9,,no macrogenesis data,
2_I_H.9a,,no macrogenesis data,
2_I_H.9b,,no macrogenesis data,
2_I_H.9c_,,no macrogenesis data,
2_I_H.9d,,no macrogenesis data,
2_I_H.9f,,no macrogenesis data,
2_I_H.9g,,no macrogenesis data,
2_I_H.9h,,no macrogenesis data,
2_I_H.9l_,,no macrogenesis data,
2_I_H.9m,,no macrogenesis data,
2_I_H.9o_,,no macrogenesis data,
2_V_H.0d,,no macrogenesis data,
2_V_H.0e,,no macrogenesis data,
2_V_H.0f,,no macrogenesis data,
2_V_H.12_1,,no macrogenesis data,
2_V_H.12_2,,no macrogenesis data,
2_V_H.14a_,,no macrogenesis data,
2_V_H.15a,,no macrogenesis data,
2_V_H.15b,,no macrogenesis data,
2_V_H.35a_,,no macrogenesis data,
2_V_H.37d,,no macrogenesis data,
2_V_H.37e,,no macrogenesis data,
2_V_H.37f,,no macrogenesis data,
C.1_12,,no macrogenesis data,
C.1_4,,no macrogenesis data,
C.3_12,,no macrogenesis data,
C.3_4,,no macrogenesis data,
D.4alpha,,no macrogenesis data,
H_P12,,no macrogenesis data,
H_P123.3,,no macrogenesis data,
H_P123.4,,no macrogenesis data,
H_P123.6,,no macrogenesis data,
H_P123.7,,no macrogenesis data,
H_P123.8,,no macrogenesis data,
H_P123.9,,no macrogenesis data,
H_P129_Var_,,no macrogenesis data,
H_P148,,no macrogenesis data,
H_P15,,no macrogenesis data,
H_P156a_,,no macrogenesis data,
H_P167,,no macrogenesis data,
H_P174,,no macrogenesis data,
H_P176,,no macrogenesis data,
H_P176_Var,,no macrogenesis data,
H_P179,,no macrogenesis data,
H_P190b,,no macrogenesis data,
H_P22,,no macrogenesis data,
H_P27,,no macrogenesis data,
H_P29,,no macrogenesis data,
H_P30,,no macrogenesis data,
H_P42,,no macrogenesis data,
H_P5,,no macrogenesis data,
H_P78,,no macrogenesis data,
H_P82a,,no macrogenesis data,
H_P9a,,no macrogenesis data,
J.1,,no macrogenesis data,
J.3-1,,no macrogenesis data,
J.3-2,,no macrogenesis data,
R_2,,no macrogenesis data,
R_3,,no macrogenesis data,
T_0_H,,no macrogenesis data,
T_3_H.2,,no macrogenesis data,
T_3_H.3,,no macrogenesis data,
T_6_H.1,,no macrogenesis data,
T_6_H.2,,no macrogenesis data,
Testhandschrift,,no macrogenesis data,
