,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 II H.39,faust://document/faustedition/2_II_H.39,2 II H.39,Witness,,591,822,1830-01-31,,1830-06-26,,1830-04-14,1830.0,1830,263
2 II H.49,faust://document/faustedition/2_II_H.49,2 II H.49,Witness,,592,820,1830-01-31,1830-01-31,1830-06-26,1830-06-26,1830-04-14,1830.0,1830,274
2 II H.51,faust://document/faustedition/2_II_H.51,2 II H.51,Witness,,593,823,1830-01-31,,1830-06-26,,1830-04-14,1830.0,1830,276
2 II H.53,faust://document/faustedition/2_II_H.53,2 II H.53,Witness,,594,820,1830-01-31,,1830-06-26,,1830-04-14,1830.0,1830,278
2 II H.22,faust://document/faustedition/2_II_H.22,2 II H.22,Witness,,595,817,1830-01-27,1830-01-27,1830-02-01,1830-02-01,1830-01-29,1830.0,1830,243
2 II H.25,faust://document/faustedition/2_II_H.25,2 II H.25,Witness,,596,824,1830-01-27,1830-01-16,1830-02-02,1830-07-17,1830-01-30,1830.0,1830,246
2 II H.46,faust://document/faustedition/2_II_H.46,2 II H.46,Witness,,597,814,1830-01-27,1829-12-02,1830-06-02,1830-06-02,1830-03-31,1830.0,1830,270
2 II H.74 i_uebrige,faust://inscription/faustedition/2_II_H.74/i_uebrige,2 II H.74 i_uebrige,Inscription,2 II H.74,598,821,1830-01-27,1829-12-26,1830-06-26,1830-06-26,1830-04-12,1830.0,1830,65
2 II H.74 i_2,faust://inscription/faustedition/2_II_H.74/i_2,2 II H.74 i_2,Inscription,2 II H.74,599,819,1830-01-27,,,,1830-01-27,1830.0,1830,37
2 II H.74 i_23_m,faust://inscription/faustedition/2_II_H.74/i_23_m,2 II H.74 i_23_m,Inscription,2 II H.74,600,819,1830-01-27,,,,1830-01-27,1830.0,1830,38
2 II H.54,faust://document/faustedition/2_II_H.54,2 II H.54,Witness,,601,820,1830-01-27,,1830-02-02,,1830-01-30,1830.0,1830,279
2 II H.24,faust://document/faustedition/2_II_H.24,2 II H.24,Witness,,602,820,1830-01-27,,1830-02-02,,1830-01-30,1830.0,1830,245
2 II H.41,faust://document/faustedition/2_II_H.41,2 II H.41,Witness,,603,819,1830-01-27,,1830-02-02,,1830-01-30,1830.0,1830,265
