,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 I H.12:2,faust://document/faustedition/2_I_H.12_2,2 I H.12:2,Witness,,111,408,407,0,,,,,,,,153
2 I H.12a,faust://document/faustedition/2_I_H.12a,2 I H.12a,Witness,,112,409,410,4,,,,,,,,154
2 I H.14,faust://document/faustedition/2_I_H.14,2 I H.14,Witness,,113,412,413,2,,,,,,,,156
2 I H.15a,faust://document/faustedition/2_I_H.15a,2 I H.15a,Witness,,114,415,416,5,,,,,,,,158
2 I H.15b,faust://document/faustedition/2_I_H.15b,2 I H.15b,Witness,,115,417,418,2,,,,,,,,159
2 I H.15c,faust://document/faustedition/2_I_H.15c,2 I H.15c,Witness,,116,420,419,0,,,,,,,,160
2 I H.16,faust://document/faustedition/2_I_H.16,2 I H.16,Witness,,117,422,421,0,,,,,,,,161
2 I H.18,faust://document/faustedition/2_I_H.18,2 I H.18,Witness,,118,424,425,4,,,,,,,,163
2 I H.2,faust://document/faustedition/2_I_H.2,2 I H.2,Witness,,119,427,428,2,,,,,,,,124
2 I H.23,faust://document/faustedition/2_I_H.23,2 I H.23,Witness,,120,432,433,2,,,,,,,,168
