,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 I H.54,faust://document/faustedition/2_I_H.54,2 I H.54,Witness,,42,0,,,1832-06-06,,1832-06-06,1832.0,1832,205
2 I H.55,faust://document/faustedition/2_I_H.55,2 I H.55,Witness,,43,3,,,1832-06-06,,1832-06-06,1832.0,1832,206
2 II H.2:2,faust://document/faustedition/2_II_H.2_2,2 II H.2:2,Witness,,44,0,,,1832-06-06,,1832-06-06,1832.0,1832,214
2 II H.5a,faust://document/faustedition/2_II_H.5a,2 II H.5a,Witness,,45,0,,,1832-06-06,,1832-06-06,1832.0,1832,220
2 II H.6a,faust://document/faustedition/2_II_H.6a,2 II H.6a,Witness,,46,0,,,,,,,,222
2 II H.6b,faust://document/faustedition/2_II_H.6b,2 II H.6b,Witness,,47,0,,,,,,,,223
2 II H.11a,faust://document/faustedition/2_II_H.11a,2 II H.11a,Witness,,48,0,,,,,,,,230
2 II H.13a,faust://document/faustedition/2_II_H.13a,2 II H.13a,Witness,,49,0,,,,,,,,233
2 II H.16,faust://document/faustedition/2_II_H.16,2 II H.16,Witness,,50,0,,,1830-01-18,,1830-01-18,1830.0,1830,236
2 II H.21,faust://document/faustedition/2_II_H.21,2 II H.21,Witness,,51,0,,,1830-06-26,,1830-06-26,1830.0,1830,242
2 II H.26,faust://document/faustedition/2_II_H.26,2 II H.26,Witness,,52,2,,,1830-01-18,,1830-01-18,1830.0,1830,247
2 II H.29,faust://document/faustedition/2_II_H.29,2 II H.29,Witness,,53,0,,,1830-06-26,,1830-06-26,1830.0,1830,251
2 II H.30,faust://document/faustedition/2_II_H.30,2 II H.30,Witness,,54,4,,,1830-06-26,,1830-06-26,1830.0,1830,252
2 II H.31,faust://document/faustedition/2_II_H.31,2 II H.31,Witness,,55,4,,,1830-06-26,,1830-06-26,1830.0,1830,253
2 II H.32,faust://document/faustedition/2_II_H.32,2 II H.32,Witness,,56,0,,,1832-06-06,,1832-06-06,1832.0,1832,255
2 II H.37,faust://document/faustedition/2_II_H.37,2 II H.37,Witness,,57,0,,,1830-06-26,,1830-06-26,1830.0,1830,261
2 II H.40,faust://document/faustedition/2_II_H.40,2 II H.40,Witness,,58,0,,,1830-02-02,,1830-02-02,1830.0,1830,264
2 II H.43,faust://document/faustedition/2_II_H.43,2 II H.43,Witness,,59,0,,,1830-06-26,,1830-06-26,1830.0,1830,267
2 II H.44,faust://document/faustedition/2_II_H.44,2 II H.44,Witness,,60,3,,,1830-06-26,,1830-06-26,1830.0,1830,268
2 II H.50,faust://document/faustedition/2_II_H.50,2 II H.50,Witness,,61,0,,,1830-06-26,,1830-06-26,1830.0,1830,275
2 II H.59,faust://document/faustedition/2_II_H.59,2 II H.59,Witness,,62,0,,,1830-06-26,,1830-06-26,1830.0,1830,284
2 II H.68,faust://document/faustedition/2_II_H.68,2 II H.68,Witness,,63,0,,,1830-03-27,1830-12-10,1830-03-27,1830.0,1830,293
2 II H.72,faust://document/faustedition/2_II_H.72,2 II H.72,Witness,,64,2,,,1831-02-26,,1831-02-26,1831.0,1831,297
2 III H.4,faust://document/faustedition/2_III_H.4,2 III H.4,Witness,,65,0,,,1826-06-10,1826-12-11,1826-06-10,1826.0,1826,313
2 III H.12a,faust://document/faustedition/2_III_H.12a,2 III H.12a,Witness,,66,0,,,,,,,,331
2 III H.45a,faust://document/faustedition/2_III_H.45a,2 III H.45a,Witness,,67,0,,,,,,,,375
2 III H.45b,faust://document/faustedition/2_III_H.45b,2 III H.45b,Witness,,68,0,,,,,,,,376
